NOMBRE_LEY;AÑO;TIPO_LEY;TITULO_LEY
Ley Orgánica 1/2018;2018;Ley Orgánica;Ley Orgánica 1/2018, de 5 de noviembre, de reforma del Estatuto de Autonomía de Canarias. (BOE, núm. 268, de 06 de noviembre  de 2018
Ley Orgánica 2/2018;2018;Ley Orgánica;Ley Orgánica 2/2018, de 5 de diciembre, para la modificación de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General para garantizar el derecho de sufragio de todas las personas con discapacidad. (BOE, núm. 294, de 06 de diciembre  de 2018
Ley Orgánica 3/2018;2018;Ley Orgánica;Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales. (BOE, núm. 294, de 06 de diciembre  de 2018
Ley Orgánica 4/2018;2018;Ley Orgánica;Ley Orgánica 4/2018, de 28 de diciembre, de reforma de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial. (BOE, núm. 314, de 29 de diciembre  de 2018
Ley Orgánica 5/2018;2018;Ley Orgánica;Ley Orgánica 5/2018, de 28 de diciembre, de reforma de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial, sobre medidas urgentes en aplicación del Pacto de Estado en materia de violencia de género (BOE, núm. 314, de 29 de diciembre  de 2018
Ley 1/2018;2018;Ley;Ley 1/2018, de 6 de marzo, por la que se adoptan medidas urgentes para paliar los efectos producidos por la sequía en determinadas cuencas hidrográficas y se modifica el texto refundido de la Ley de Aguas, aprobado por Real Decreto Legislativo 1/2001, de 20 de julio. (BOE, núm. 58, de 07 de marzo      de 2018
Ley 2/2018;2018;Ley;Ley 2/2018, de 23 de mayo, por la que se modifica la Ley 14/2010, de 5 de julio, sobre las infraestructuras y los servicios de información geográfica en España. (BOE, núm. 126, de 24 de mayo       de 2018
Ley 3/2018;2018;Ley;Ley 3/2018, de 11 de junio, por la que se modifica la Ley 23/2014, de 20 de noviembre, de reconocimiento mutuo de resoluciones penales en la Unión Europea, para regular la Orden Europea de Investigación. (BOE, núm. 142, de 12 de junio      de 2018
Ley 4/2018;2018;Ley;Ley 4/2018, de 11 de junio, por la que se modifica el texto refundido de la Ley General para la Defensa de los Consumidores y Usuarios y otras leyes complementarias, aprobado por Real Decreto Legislativo 1/2007, de 16 de noviembre. (BOE, núm. 142, de 12 de junio      de 2018
Ley 5/2018;2018;Ley;Ley 5/2018, de 11 de junio, de modificación de la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil, en relación a la ocupación ilegal de viviendas. (BOE, núm. 142, de 12 de junio      de 2018
Ley 6/2018;2018;Ley;Ley 6/2018, de 3 de julio, de Presupuestos Generales del Estado para el año 2018. (BOE, núm. 161, de 04 de julio      de 2018
Ley 7/2018;2018;Ley;Ley 7/2018, de 20 de julio, de modificación de la Ley 42/2007, de 13 de diciembre, del Patrimonio Natural y de la Biodiversidad. (BOE, núm. 176, de 21 de julio      de 2018
Ley 8/2018;2018;Ley;Ley 8/2018, de 5 de noviembre, por la que se modifica la Ley 19/1994, de 6 de julio, de modificación del Régimen Económico y Fiscal de Canarias. (BOE, núm. 268, de 06 de noviembre  de 2018
Ley 9/2018;2018;Ley;Ley 9/2018, de 5 de diciembre, por la que se modifica la Ley 21/2013, de 9 de diciembre, de evaluación ambiental, la Ley 21/2015, de 20 de julio, por la que se modifica la Ley 43/2003, de 21 de noviembre, de Montes y la Ley 1/2005, de 9 de marzo, por la que se regula el régimen del comercio de derechos de emisión de gases de efecto invernadero. (BOE, núm. 294, de 06 de diciembre  de 2018
Ley 10/2018;2018;Ley ;Ley 10/2018, de 5 de diciembre, sobre la transferencia de recursos de 19,99 hm³ desde la Demarcación Hidrográfica de los ríos Tinto, Odiel y Piedras a la Demarcación Hidrográfica del Guadalquivir. (BOE, núm. 294, de 06 de diciembre  de 2018
Ley 11/2018;2018;Ley ;Ley 11/2018, de 28 de diciembre, por la que se modifica el Código de Comercio, el texto refundido de la Ley de Sociedades de Capital aprobado por el Real Decreto Legislativo 1/2010, de 2 de julio, y la Ley 22/2015, de 20 de julio, de Auditoría de Cuentas, en materia de información no financiera y diversidad. (BOE, núm. 314, de 29 de diciembre  de 2018
Real Decreto-ley 1/2018;2018;Real Decreto-ley;Real Decreto-ley 1/2018, de 23 de marzo, por el que se prorroga para 2018 el destino del superávit de las corporaciones locales para inversiones financieramente sostenibles y se modifica el ámbito objetivo de éstas. (BOE, núm. 73, de 24 de marzo      de 2018
Real Decreto-ley 2/2018;2018;Real Decreto-ley;Real Decreto-ley 2/2018, de 13 de abril, por el que se modifica el texto refundido de la Ley de Propiedad Intelectual, aprobado por el Real Decreto Legislativo 1/1996, de 12 de abril, y por el que se incorporan al ordenamiento jurídico español la Directiva 2014/26/UE del Parlamento Europeo y del Consejo, de 26 de febrero de 2014, y la Directiva (UE) 2017/1564 del Parlamento Europeo y del Consejo, de 13 de septiembre de 2017. (BOE, núm. 91, de 14 de abril      de 2018
Real Decreto-ley 3/2018;2018;Real Decreto-ley;Real Decreto-ley 3/2018, de 20 de abril, por el que se modifica la Ley 16/1987, de 30 de julio, de Ordenación de los Transportes Terrestres, en materia de arrendamiento de vehículos con conductor. (BOE, núm. 97, de 21 de abril      de 2018
Real Decreto-ley 4/2018;2018;Real Decreto-ley;Real Decreto-ley 4/2018, de 22 de junio, por el que se concreta, con carácter urgente, el régimen jurídico aplicable a la designación del Consejo de Administración de la Corporación RTVE y de su Presidente. (BOE, núm. 152, de 23 de junio      de 2018
Real Decreto-ley 5/2018;2018;Real Decreto-ley;Real Decreto-ley 5/2018, de 27 de julio, de medidas urgentes para la adaptación del Derecho español a la normativa de la Unión Europea en materia de protección de datos. (BOE, núm. 183, de 30 de julio      de 2018
Real Decreto-ley 6/2018;2018;Real Decreto-ley;Real Decreto-ley 6/2018, de 27 de julio, por el que se aprueba una oferta de empleo público extraordinaria y adicional para el refuerzo de medios en la atención a asilados y refugiados. (BOE, núm. 184, de 31 de julio      de 2018
Real Decreto-ley 7/2018;2018;Real Decreto-ley;Real Decreto-ley 7/2018, de 27 de julio, sobre el acceso universal al Sistema Nacional de Salud. (BOE, núm. 183, de 30 de julio      de 2018
Real Decreto-ley 8/2018;2018;Real Decreto-ley;Real Decreto-ley 8/2018, de 3 de agosto, por el que se modifica el Real Decreto-ley 16/2014, de 19 de diciembre, por el que se regula el Programa de Activación para el Empleo. (BOE, núm. 188, de 04 de agosto     de 2018
Real Decreto-ley 9/2018;2018;Real Decreto-ley;Real Decreto-ley 9/2018, de 3 de agosto, de medidas urgentes para el desarrollo del Pacto de Estado contra la violencia de género. (BOE, núm. 188, de 04 de agosto     de 2018
Real Decreto-ley 10/2018;2018;Real Decreto-ley ;Real Decreto-ley 10/2018, de 24 de agosto, por el que se modifica la Ley 52/2007, de 26 de diciembre, por la que se reconocen y amplían derechos y se establecen medidas en favor de quienes padecieron persecución o violencia durante la Guerra Civil y la Dictadura. (BOE, núm. 206, de 25 de agosto     de 2018
Real Decreto-ley 11/2018;2018;Real Decreto-ley ;Real Decreto-ley 11/2018, de 31 de agosto, de transposición de directivas en materia de protección de los compromisos por pensiones con los trabajadores, prevención del blanqueo de capitales y requisitos de entrada y residencia de nacionales de países terceros y por el que se modifica la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas. (BOE, núm. 214, de 04 de septiembre de 2018
Real Decreto-ley 12/2018;2018;Real Decreto-ley ;Real Decreto-ley 12/2018, de 7 de septiembre, de seguridad de las redes y sistemas de información. (BOE, núm. 218, de 08 de septiembre de 2018
Real Decreto-ley 13/2018;2018;Real Decreto-ley ;Real Decreto-ley 13/2018, de 28 de septiembre, por el que se modifica la Ley 16/1987, de 30 de julio, de Ordenación de los Transportes Terrestres, en materia de arrendamiento de vehículos con conductor. (BOE, núm. 236, de 29 de septiembre de 2018
Real Decreto-ley 14/2018;2018;Real Decreto-ley ;Real Decreto-ley 14/2018, de 28 de septiembre, por el que se modifica el texto refundido de la Ley del Mercado de Valores, aprobado por el Real Decreto Legislativo 4/2015, de 23 de octubre. (BOE, núm. 236, de 29 de septiembre de 2018
Real Decreto-ley 15/2018;2018;Real Decreto-ley ;Real Decreto-ley 15/2018, de 5 de octubre, de medidas urgentes para la transición energética y la protección de los consumidores. (BOE, núm. 242, de 06 de octubre    de 2018
Real Decreto-ley 16/2018;2018;Real Decreto-ley ;Real Decreto-ley 16/2018, de 26 de octubre, por el que se adoptan determinadas medidas de lucha contra el tráfico ilícito de personas y mercancías en relación con las embarcaciones utilizadas. (BOE, núm. 260, de 27 de octubre    de 2018
Real Decreto-ley 17/2018;2018;Real Decreto-ley ;Real Decreto-ley 17/2018, de 8 de noviembre, por el que se modifica el Texto refundido de la Ley del Impuesto sobre Transmisiones Patrimoniales y Actos Jurídicos Documentados, aprobado por el Real Decreto Legislativo 1/1993, de 24 de septiembre. (BOE, núm. 271, de 09 de noviembre  de 2018
Real Decreto-ley 18/2018;2018;Real Decreto-ley ;Real Decreto-ley 18/2018, de 8 de noviembre, sobre medidas urgentes en materia de carreteras. (BOE, núm. 271, de 09 de noviembre  de 2018
Real Decreto-ley 19/2018;2018;Real Decreto-ley ;Real Decreto-ley 19/2018, de 23 de noviembre, de servicios de pago y otras medidas urgentes en materia financiera. (BOE, núm. 284, de 24 de noviembre  de 2018
Real Decreto-ley 20/2018;2018;Real Decreto-ley ;Real Decreto-ley 20/2018, de 7 de diciembre, de medidas urgentes para el impulso de la competitividad económica en el sector de la industria y el comercio en España. (BOE, núm. 296, de 08 de diciembre  de 2018
Real Decreto-ley 21/2018;2018;Real Decreto-ley ;Real Decreto-ley 21/2018, de 14 de diciembre, de medidas urgentes en materia de vivienda y alquiler. (BOE, núm. 304, de 18 de diciembre  de 2018
Real Decreto-ley 22/2018;2018;Real Decreto-ley ;Real Decreto-ley 22/2018, de 14 de diciembre, por el que se establecen herramientas macroprudenciales. (BOE, núm. 304, de 18 de diciembre  de 2018
Real Decreto-ley 23/2018;2018;Real Decreto-ley ;Real Decreto-ley 23/2018, de 21 de diciembre, de transposición de directivas en materia de marcas, transporte ferroviario y viajes combinados y servicios de viaje vinculados. (BOE, núm. 312, de 27 de diciembre  de 2018
Real Decreto-ley 24/2018;2018;Real Decreto-ley ;Real Decreto-ley 24/2018, de 21 de diciembre, por el que se aprueban medidas urgentes en materia de retribuciones en el ámbito del sector público. (BOE, núm. 312, de 27 de diciembre  de 2018
Real Decreto-ley 25/2018;2018;Real Decreto-ley ;Real Decreto-ley 25/2018, de 21 de diciembre, de medidas urgentes para una transición justa de la minería del carbón y el desarrollo sostenible de las comarcas mineras. (BOE, núm. 308, de 22 de diciembre  de 2018
Real Decreto-ley 26/2018;2018;Real Decreto-ley ;Real Decreto-ley 26/2018, de 28 de diciembre, por el que se aprueban medidas de urgencia sobre la creación artística y la cinematografía. (BOE, núm. 314, de 29 de diciembre  de 2018
Real Decreto-ley 27/2018;2018;Real Decreto-ley ;Real Decreto-ley 27/2018, de 28 de diciembre, por el que se adoptan determinadas medidas en materia tributaria y catastral (BOE, núm. 314, de 29 de diciembre  de 2018
Real Decreto-ley 28/2018;2018;Real Decreto-ley ;Real Decreto-ley 28/2018, de 28 de diciembre, para la revalorización de las pensiones públicas y otras medidas urgentes en materia social, laboral y de empleo. (BOE, núm. 314, de 29 de diciembre  de 2018
Ley Orgánica 1/2017;2017;Ley Orgánica;Ley Orgánica 1/2017, de 13 de diciembre, de modificación de la Ley Orgánica 5/1995, de 22 de mayo, del Tribunal del Jurado, para garantizar la participación de las personas con discapacidad sin exclusiones. (BOE, núm. 303, de 14 de diciembre  de 2017
Ley 1/2017;2017;Ley;Ley 1/2017, de 18 de abril, sobre restitución de bienes culturales que hayan salido de forma ilegal del territorio español o de otro Estado miembro de la Unión Europea, por la que se incorpora al ordenamiento español la Directiva 2014/60/UE, del Parlamento Europeo y del Consejo de 15 de mayo de 2014. (BOE, núm. 93, de 19 de abril      de 2017
Ley 2/2017;2017;Ley;Ley 2/2017, de 21 de junio, de modificación de la Ley 1/1996, de 10 de enero, de asistencia jurídica gratuita. (BOE, núm. 148, de 22 de junio      de 2017
Ley 3/2017;2017;Ley;Ley 3/2017, de 27 de junio, de Presupuestos Generales del Estado para el año 2017. (BOE, núm. 153, de 28 de junio      de 2017
Ley 4/2017;2017;Ley;Ley 4/2017, de 28 de junio, de modificación de la Ley 15/2015, de 2 de julio, de la Jurisdicción Voluntaria (BOE, núm. 154, de 29 de junio      de 2017
Ley 5/2017;2017;Ley;Ley 5/2017, de 29 de septiembre, por la que se modifica la Ley 17/2006, de 5 de junio, de la radio y la televisión de titularidad estatal, para recuperar la independencia de la Corporación RTVE y el pluralismo en la elección parlamentaria de sus órganos. (BOE, núm. 236, de 30 de septiembre de 2017
Ley 6/2017;2017;Ley;Ley 6/2017, de 24 de octubre, de Reformas Urgentes del Trabajo Autónomo. (BOE, núm. 257, de 25 de octubre    de 2017
Ley 7/2017;2017;Ley;Ley 7/2017, de 2 de noviembre, por la que se incorpora al ordenamiento jurídico español la Directiva 2013/11/UE, del Parlamento Europeo y del Consejo, de 21 de mayo de 2013, relativa a la resolución alternativa de litigios en materia de consumo. (BOE, núm. 268, de 04 de noviembre  de 2017
Ley 8/2017;2017;Ley;Ley 8/2017, de 8 de noviembre, sobre precursores de explosivos. (BOE, núm. 272, de 09 de noviembre  de 2017
Ley 9/2017;2017;Ley;Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014. (BOE, núm. 272, de 09 de noviembre  de 2017
Ley 10/2017;2017;Ley ;Ley 10/2017, de 28 de diciembre, por la que se modifica la Ley 12/2002, de 23 de mayo, por la que se aprueba el Concierto Económico con la Comunidad Autónoma del País Vasco. (BOE, núm. 316, de 29 de diciembre  de 2017
Ley 11/2017;2017;Ley ;Ley 11/2017, de 28 de diciembre, por la que se aprueba la metodología de señalamiento del cupo del País Vasco para el quinquenio 2017-2021. (BOE, núm. 316, de 29 de diciembre  de 2017
Ley 12/2017;2017;Ley ;Ley 12/2017, de 28 de diciembre, de modificación de la Ley 42/2015, de 5 de octubre, de reforma de la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil, para garantizar la efectividad de los actos de comunicación del Ministerio Fiscal. (BOE, núm. 316, de 29 de diciembre  de 2017
Real Decreto-ley 1/2017;2017;Real Decreto-ley;Real Decreto-ley 1/2017, de 20 de enero, de medidas urgentes de protección de consumidores en materia de cláusulas suelo. (BOE, núm. 18, de 21 de enero      de 2017
Real Decreto-ley 2/2017;2017;Real Decreto-ley;Real Decreto-ley 2/2017, de 27 de enero, por el que se adoptan medidas urgentes para paliar los daños causados por los últimos temporales. (BOE, núm. 24, de 28 de enero      de 2017
Real Decreto-ley 3/2017;2017;Real Decreto-ley;Real Decreto-ley 3/2017, de 17 de febrero, por el que se modifica la Ley Orgánica 3/2013, de 20 de junio, de protección de la salud del deportista y lucha contra el dopaje en la actividad deportiva, y se adapta a las modificaciones introducidas por el Código Mundial Antidopaje de 2015. (BOE, núm. 42, de 18 de febrero    de 2017
Real Decreto-ley 4/2017;2017;Real Decreto-ley;Real Decreto-ley 4/2017, de 24 de febrero, por el que se modifica el régimen de los trabajadores para la prestación del servicio portuario de manipulación de mercancías dando cumplimiento a la Sentencia del Tribunal de Justicia de la Unión Europea de 11 de diciembre de 2014, recaída en el asunto C-576/13 (procedimiento de infracción 2009/4052
Real Decreto-ley 5/2017;2017;Real Decreto-ley;Real Decreto-ley 5/2017, de 17 de marzo, por el que se modifica el Real Decreto-ley 6/2012, de 9 de marzo, de medidas urgentes de protección de deudores hipotecarios sin recursos, y la Ley 1/2013, de 14 de mayo, de medidas para reforzar la protección a los deudores hipotecarios, reestructuración de deuda y alquiler social. (BOE, núm. 66, de 18 de marzo      de 2017
Real Decreto-ley 6/2017;2017;Real Decreto-ley;Real Decreto-ley 6/2017, de 31 de marzo, por el que se aprueba la oferta de empleo público en los ámbitos de personal docente no universitario y universitario, Fuerzas Armadas, Fuerzas y Cuerpos de Seguridad del Estado y Cuerpos de Policía dependientes de las Comunidades Autónomas para 2017. (BOE, núm. 78, de 01 de abril      de 2017
Real Decreto-ley 7/2017;2017;Real Decreto-ley;Real Decreto-ley 7/2017, de 28 de abril, por el que se prorroga y modifica el Programa de Activación para el Empleo. (BOE, núm. 102, de 29 de abril      de 2017
Real Decreto-ley 8/2017;2017;Real Decreto-ley;Real Decreto-ley 8/2017, de 12 de mayo, por el que se modifica el régimen de los trabajadores para la prestación del servicio portuario de manipulación de mercancías dando cumplimiento a la Sentencia del Tribunal de Justicia de la Unión Europea de 11 de diciembre de 2014, recaída en el Asunto C-576/13 (procedimiento de infracción 2009/4052
Real Decreto-ley 9/2017;2017;Real Decreto-ley;Real Decreto-ley 9/2017, de 26 de mayo, por el que se transponen directivas de la Unión Europea en los ámbitos financiero, mercantil y sanitario, y sobre el desplazamiento de trabajadores. (BOE, núm. 126, de 27 de mayo       de 2017
Real Decreto-ley 10/2017;2017;Real Decreto-ley ;Real Decreto-ley 10/2017, de 9 de junio, por el que se adoptan medidas urgentes para paliar los efectos producidos por la sequía en determinadas cuencas hidrográficas y se modifica el texto refundido de la Ley de Aguas, aprobado por Real Decreto Legislativo 1/2001, de 20 de julio. (BOE, núm. 138, de 10 de junio      de 2017
Real Decreto-ley 11/2017;2017;Real Decreto-ley ;Real Decreto-ley 11/2017, de 23 de junio, de medidas urgentes en materia financiera (BOE, núm. 150, de 24 de junio      de 2017
Real Decreto-ley 12/2017;2017;Real Decreto-ley ;Real Decreto-ley 12/2017, de 3 de julio, por el que se modifica el texto refundido de la Ley de Propiedad Intelectual, aprobado por el Real Decreto Legislativo 1/1996, de 12 de abril, en cuanto al sistema de compensación equitativa por copia privada. (BOE, núm. 158, de 04 de julio      de 2017
Real Decreto-ley 13/2017;2017;Real Decreto-ley ;Real Decreto-ley 13/2017, de 7 de julio, por el que se aprueba una oferta de empleo público extraordinaria y adicional para el refuerzo de la lucha contra el fraude fiscal, en la Seguridad Social, en el ámbito laboral y del control del gasto, para la mejora en la prestación de determinados servicios a los ciudadanos, y por el que se crean especialidades en Cuerpos y Escalas de la Administración del Estado y sus organismos públicos. (BOE, núm. 162, de 08 de julio      de 2017
Real Decreto-ley 14/2017;2017;Real Decreto-ley ;Real Decreto-ley 14/2017, de 6 de octubre, por el que se aprueba la reactivación extraordinaria y por tiempo limitado del programa de recualificación profesional de las personas que agoten su protección por desempleo. (BOE, núm. 242, de 07 de octubre    de 2017
Real Decreto-ley 15/2017;2017;Real Decreto-ley ;Real Decreto-ley 15/2017, de 6 de octubre, de medidas urgentes en materia de movilidad de operadores económicos dentro del territorio nacional. (BOE, núm. 242, de 07 de octubre    de 2017
Real Decreto-ley 16/2017;2017;Real Decreto-ley ;Real Decreto-ley 16/2017, de 17 de noviembre, por el que se establecen disposiciones de seguridad en la investigación y explotación de hidrocarburos en el medio marino. (BOE, núm. 280, de 18 de noviembre  de 2017
Real Decreto-ley 17/2017;2017;Real Decreto-ley ;Real Decreto-ley 17/2017, de 17 de noviembre, por el que se modifica la Ley 28/2005, de 26 de diciembre, de medidas sanitarias frente al tabaquismo y reguladora de la venta, el suministro, el consumo y la publicidad de los productos del tabaco, para transponer la Directiva 2014/40/UE del Parlamento Europeo y del Consejo, de 3 de abril de 2014. (BOE, núm. 280, de 18 de noviembre  de 2017
Real Decreto-ley 18/2017;2017;Real Decreto-ley ;Real Decreto-ley 18/2017, de 24 de noviembre, por el que se modifican el Código de Comercio, el texto refundido de la Ley de Sociedades de Capital aprobado por el Real Decreto Legislativo 1/2010, de 2 de julio, y la Ley 22/2015, de 20 de julio, de Auditoría de Cuentas, en materia de información no financiera y diversidad. (BOE, núm. 287, de 25 de noviembre  de 2017
Real Decreto-ley 19/2017;2017;Real Decreto-ley ;Real Decreto-ley 19/2017, de 24 de noviembre, de cuentas de pago básicas, traslado de cuentas de pago y comparabilidad de comisiones. (BOE, núm. 287, de 25 de noviembre  de 2017
Real Decreto-ley 20/2017;2017;Real Decreto-ley ;Real Decreto-ley 20/2017, de 29 de diciembre, por el que se prorrogan y aprueban diversas medidas tributarias y otras medidas urgentes en materia social. (BOE, núm. 317, de 30 de diciembre  de 2017
Real Decreto-ley 21/2017;2017;Real Decreto-ley ;Real Decreto-ley 21/2017, de 29 de diciembre, de medidas urgentes para la adaptación del derecho español a la normativa de la Unión Europea en materia del mercado de valores. (BOE, núm. 317, de 30 de diciembre  de 2017
Ley Orgánica 1/2016;2016;Ley Orgánica;Ley Orgánica 1/2016, de 31 de octubre, de reforma de la Ley Orgánica 2/2012, de 27 de abril, de Estabilidad Presupuestaria y Sostenibilidad Financiera. (BOE, núm. 264, de 01 de noviembre  de 2016
Ley Orgánica 2/2016;2016;Ley Orgánica;Ley Orgánica 2/2016, de 31 de octubre, de modificación de la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para el supuesto de convocatoria automática de elecciones en virtud de lo dispuesto en el apartado 5 del artículo 99 de la Constitución. (BOE, núm. 264, de 01 de noviembre  de 2016
Real Decreto-ley 1/2016;2016;Real Decreto-ley;Real Decreto-ley 1/2016, de 15 de abril, por el que se prorroga el Programa de Activación para el Empleo. (BOE, núm. 92, de 16 de abril      de 2016
Real Decreto-ley 2/2016;2016;Real Decreto-ley;Real Decreto-ley 2/2016, de 30 de septiembre, por el que se introducen medidas tributarias dirigidas a la reducción del déficit público. (BOE, núm. 237, de 30 de septiembre de 2016
Real Decreto-ley 3/2016;2016;Real Decreto-ley;Real Decreto-ley 3/2016, de 2 de diciembre, por el que se adoptan medidas en el ámbito tributario dirigidas a la consolidación de las finanzas públicas y otras medidas urgentes en materia social. (BOE, núm. 292, de 03 de diciembre  de 2016
Real Decreto-ley 4/2016;2016;Real Decreto-ley;Real Decreto-ley 4/2016, de 2 de diciembre, de medidas urgentes en materia financiera. (BOE, núm. 292, de 03 de diciembre  de 2016
Real Decreto-ley 5/2016;2016;Real Decreto-ley;Real Decreto-ley 5/2016, de 9 de diciembre, de medidas urgentes para la ampliación del calendario de implantación de la Ley Orgánica 8/2013, de 9 de diciembre, para la mejora de la calidad educativa. (BOE, núm. 298, de 10 de diciembre  de 2016
Real Decreto-ley 6/2016;2016;Real Decreto-ley;Real Decreto-ley 6/2016, de 23 de diciembre, de medidas urgentes para el impulso del Sistema Nacional de Garantía Juvenil. (BOE, núm. 310, de 24 de diciembre  de 2016
Real Decreto-ley 7/2016;2016;Real Decreto-ley;Real Decreto-ley 7/2016, de 23 de diciembre, por el que se regula el mecanismo de financiación del coste del bono social y otras medidas de protección al consumidor vulnerable de energía eléctrica. (BOE, núm. 310, de 24 de diciembre  de 2016
